"","YEAR","STATE","STATEID","white","black","other","check","tot","other_alt","Pop"
"106",1979,"WI",55,1985,1346,103,0,3434,103,4682811
"107",1979,"WV",54,1011,239,1,0,1251,1,1942146
"108",1979,"WY",56,411,17,49,0,477,49,454378
"109",1980,"AK",2,439,94,289,0,822,289,418488
"110",1980,"AL",1,2286,3675,0,0,5961,0,3918531
"111",1980,"AR",5,1283,1642,0,0,2925,0,2293195
"112",1980,"AZ",4,3318,882,172,0,4372,172,2810127
"113",1980,"CA",6,15574,8462,533,0,24569,533,24285937
"114",1980,"CO",8,2144,617,31,0,2792,31,2977895
"115",1980,"CT",9,2524,1781,3,0,4308,3,3128839
"116",1980,"DC",11,94,3051,0,0,3145,0,636894
"117",1980,"DE",10,548,925,1,0,1474,1,595971
"118",1980,"FE",99,14439,8370,1554,0,24363,1554,NA
"119",1980,"FL",12,10529,9917,289,0,20735,289,10192778
"120",1980,"GA",13,5049,7151,10,0,12210,10,5568343
"121",1980,"HI",15,125,25,835,0,985,835,978174
"122",1980,"IA",19,2011,464,38,0,2513,38,2907975
"123",1980,"ID",16,767,22,28,0,817,28,962203
"124",1980,"IL",17,4505,7394,0,0,11899,0,11443461
"125",1980,"IN",18,4842,1833,8,0,6683,8,5480425
"126",1980,"KS",20,1613,830,51,0,2494,51,2384859
"127",1980,"KY",21,2597,1011,0,0,3608,0,3670385
"128",1980,"LA",22,2501,6388,0,0,8889,0,4283298
"129",1980,"MA",25,2091,1171,6,0,3268,6,5768683
"130",1980,"MD",24,1793,5908,30,0,7731,30,4261908
"131",1980,"ME",23,808,9,12,0,829,12,1133021
"132",1980,"MI",26,5232,7803,2089,0,15124,2089,9209284
"133",1980,"MN",27,1447,376,178,0,2001,178,4111674
"134",1980,"MO",29,2708,2816,0,0,5524,0,4932079
"135",1980,"MS",28,915,1835,624,0,3374,624,2539051
"136",1980,"MT",30,561,14,163,0,738,163,795317
"137",1980,"NC",37,6754,8217,411,0,15382,411,5956661
"138",1980,"ND",38,210,1,42,0,253,42,659524
"139",1980,"NE",31,971,430,45,0,1446,45,1578528
"140",1980,"NH",33,310,7,9,0,326,9,936644
"141",1980,"NJ",34,2150,3734,0,0,5884,0,7407475
"142",1980,"NM",35,1261,154,46,0,1461,46,1332709
"143",1980,"NV",32,1261,545,33,0,1839,33,847639
"144",1980,"NY",36,10203,11414,212,0,21829,212,17567729
"145",1980,"OH",39,6876,6613,0,0,13489,0,10788324
"146",1980,"OK",40,3003,1302,266,0,4571,266,3096157
"147",1980,"OR",41,2656,356,158,0,3170,158,2667984
"148",1980,"PA",42,3725,4450,7,0,8182,7,11858571
"149",1980,"RI",44,612,199,3,0,814,3,953007
"150",1980,"SC",45,3263,4585,14,0,7862,14,3179235
"151",1980,"SD",46,454,15,166,0,635,166,689569
"152",1980,"ST",60,154835,141879,7618,0,304332,7618,NA
"153",1980,"TN",47,3878,3144,0,0,7022,0,4627667
"154",1980,"TX",48,17052,12840,0,0,29892,0,14746313
