"","YEAR","STATEID","STATE","REGION","state_name","Population","WHITE","BLACK","HISP","AIAN","ASIAN","NHPI","API","TWORACE","ADDRACE","UNKRACE","TOTRACE","NOTHISP","UNKHISP","TOTHCAT","gender"
"48",1978,53,"WA",4,"Washington",3889073,3228,843,171,171,NA,NA,21,NA,NA,64,4327,4156,0,NA,"M"
"49",1978,54,"WV",3,"West Virginia",1923395,976,180,0,0,NA,NA,0,NA,NA,0,1156,1156,0,NA,"M"
"50",1978,55,"WI",2,"Wisconsin",4646108,1926,1266,80,94,NA,NA,0,NA,NA,0,3286,3206,0,NA,"M"
"51",1978,56,"WY",4,"Wyoming",432880,414,0,1,0,NA,NA,0,NA,NA,0,414,413,0,NA,"M"
"52",1978,60,"ST",7,"State prison total",NA,135423,126469,11020,1990,NA,NA,613,NA,0,1412,265907,123006,131881,NA,"M"
"53",1978,70,"US",5,"US prison total (state+federal)",NA,151534,136893,15081,2423,NA,NA,667,NA,0,2365,293882,146021,132780,NA,"M"
"54",1978,99,"FE",6,"Federal BOP",NA,16111,10424,4061,433,NA,NA,54,NA,NA,953,27975,23015,899,NA,"M"
"55",1979,1,"AL",3,"Alabama",3866248,2211,2880,0,0,NA,NA,0,NA,NA,0,5091,5091,0,NA,"M"
"56",1979,2,"AK",4,"Alaska",402753,388,81,NA,235,NA,NA,0,NA,NA,25,729,NA,729,NA,"M"
"57",1979,4,"AZ",4,"Arizona",2635571,2520,687,862,107,NA,NA,6,NA,NA,15,3335,2458,15,NA,"M"
"58",1979,5,"AR",3,"Arkansas",2271333,1312,1539,0,0,NA,NA,0,NA,NA,0,2851,2851,0,NA,"M"
"59",1979,6,"CA",4,"California",23256880,13630,7323,5105,196,NA,NA,152,NA,NA,99,21400,16295,0,NA,"M"
"60",1979,8,"CO",4,"Colorado",2849234,1895,542,689,16,NA,NA,9,NA,NA,0,2462,1773,0,NA,"M"
"61",1979,9,"CT",1,"Connecticut",3095917,2262,1649,559,0,NA,NA,0,NA,NA,8,3919,3360,0,NA,"M"
"62",1979,10,"DE",3,"Delaware",594984,541,813,NA,1,NA,NA,0,NA,NA,0,1355,NA,1355,NA,"M"
"63",1979,11,"DC",3,"District of Columbia",650016,87,2812,NA,0,NA,NA,0,NA,NA,0,2899,NA,2899,NA,"M"
"64",1979,12,"FL",3,"Florida",9426159,9735,9564,NA,0,NA,NA,6,NA,NA,0,19305,NA,19305,NA,"M"
"65",1979,13,"GA",3,"Georgia",5401384,4695,6839,2,1,NA,NA,0,NA,NA,4,11539,NA,11537,NA,"M"
"66",1979,15,"HI",4,"Hawaii",953306,84,17,NA,0,NA,NA,367,NA,NA,322,790,NA,790,NA,"M"
"67",1979,16,"ID",4,"Idaho",932627,765,16,81,13,NA,NA,2,NA,NA,0,796,715,0,NA,"M"
"68",1979,17,"IL",2,"Illinois",11396837,4552,6398,311,21,NA,NA,30,NA,NA,0,11001,10690,0,NA,"M"
"69",1979,18,"IN",2,"Indiana",5501174,4002,1467,49,5,NA,NA,1,NA,NA,0,5475,5426,0,NA,"M"
"70",1979,19,"IA",2,"Iowa",2915739,1591,341,29,30,NA,NA,3,NA,NA,51,2016,1936,51,NA,"M"
"71",1979,20,"KS",2,"Kansas",2350906,1417,757,71,30,NA,NA,4,NA,NA,0,2208,2137,0,NA,"M"
"72",1979,21,"KY",3,"Kentucky",3641804,2528,1022,6,0,NA,NA,0,NA,NA,0,3550,3544,0,NA,"M"
"73",1979,22,"LA",3,"Louisiana",4137665,2153,5229,3,0,NA,NA,0,NA,NA,0,7382,7379,0,NA,"M"
"74",1979,23,"ME",1,"Maine",1122563,739,8,0,11,NA,NA,0,NA,NA,0,758,758,0,NA,"M"
"75",1979,24,"MD",3,"Maryland",4191160,1757,5855,NA,14,NA,NA,0,NA,NA,12,7638,NA,7638,NA,"M"
"76",1979,25,"MA",1,"Massachusetts",5738404,1804,1031,145,1,NA,NA,1,NA,NA,0,2837,2692,0,NA,"M"
"77",1979,26,"MI",2,"Michigan",9266268,5338,7800,226,58,NA,NA,1,NA,NA,1177,14374,13220,928,NA,"M"
"78",1979,27,"MN",2,"Minnesota",4050316,1480,345,27,164,NA,NA,0,NA,NA,28,2017,1990,0,NA,"M"
"79",1979,28,"MS",3,"Mississippi",2507069,1121,2139,2,5,NA,NA,1,NA,NA,59,3325,3266,57,NA,"M"
"80",1979,29,"MO",2,"Missouri",4912430,2622,2730,9,0,NA,NA,0,NA,NA,0,5352,5343,0,NA,"M"
"81",1979,30,"MT",4,"Montana",787305,605,11,16,123,NA,NA,0,NA,NA,0,739,723,0,NA,"M"
"82",1979,31,"NE",2,"Nebraska",1567344,763,370,42,44,NA,NA,1,NA,NA,0,1178,1136,0,NA,"M"
"83",1979,32,"NV",4,"Nevada",765367,1029,412,59,28,NA,NA,5,NA,NA,1,1475,1416,0,NA,"M"
"84",1979,33,"NH",1,"New Hampshire",909074,304,6,2,1,NA,NA,0,NA,NA,0,311,309,0,NA,"M"
"85",1979,34,"NJ",1,"New Jersey",7366512,2141,3523,439,0,NA,NA,0,NA,NA,0,5664,5225,0,NA,"M"
"86",1979,35,"NM",4,"New Mexico",1284722,1297,165,828,27,NA,NA,0,NA,NA,0,1489,661,0,NA,"M"
"87",1979,36,"NY",1,"New York",17583838,9556,10871,4007,0,NA,NA,0,NA,NA,124,20551,16544,0,NA,"M"
"88",1979,37,"NC",3,"North Carolina",5823491,5989,7352,0,304,NA,NA,2,NA,NA,43,13690,13647,43,NA,"M"
"89",1979,38,"ND",2,"North Dakota",652896,148,2,5,29,NA,NA,0,NA,NA,5,184,179,0,NA,"M"
"90",1979,39,"OH",2,"Ohio",10798298,6387,6375,NA,0,NA,NA,0,NA,NA,0,12762,NA,12762,NA,"M"
"91",1979,40,"OK",3,"Oklahoma",2975310,2647,1140,NA,244,NA,NA,0,NA,NA,42,4073,NA,4073,NA,"M"
"92",1979,41,"OR",4,"Oregon",2588012,2468,337,90,137,NA,NA,4,NA,NA,117,3063,2973,0,NA,"M"
"93",1979,42,"PA",1,"Pennsylvania",11887975,3460,4151,NA,0,NA,NA,4,NA,NA,0,7615,NA,7615,NA,"M"
"94",1979,44,"RI",1,"Rhode Island",950382,536,192,22,0,NA,NA,0,NA,NA,0,728,706,0,NA,"M"
"95",1979,45,"SC",3,"South Carolina",3090267,3154,4166,NA,7,NA,NA,0,NA,NA,0,7327,NA,7327,NA,"M"
"96",1979,46,"SD",2,"South Dakota",688335,406,12,5,120,NA,NA,0,NA,NA,0,538,533,0,NA,"M"
"97",1979,47,"TN",3,"Tennessee",4560473,3358,2988,NA,0,NA,NA,0,NA,NA,0,6346,NA,6346,NA,"M"
"98",1979,48,"TX",3,"Texas",13888371,14526,10829,4564,0,NA,NA,0,NA,NA,0,25355,20791,0,NA,"M"
"99",1979,49,"UT",4,"Utah",1420238,829,80,135,11,NA,NA,6,NA,NA,0,926,791,0,NA,"M"
"100",1979,50,"VT",1,"Vermont",505372,415,4,0,1,NA,NA,0,NA,NA,0,420,420,0,NA,"M"
"101",1979,51,"VA",3,"Virginia",5307945,3332,4775,NA,0,NA,NA,0,NA,NA,41,8148,NA,8148,NA,"M"
"102",1979,53,"WA",4,"Washington",4017632,3227,848,192,167,NA,NA,39,NA,NA,16,4297,4105,0,NA,"M"
"103",1979,54,"WV",3,"West Virginia",1942146,990,228,0,0,NA,NA,0,NA,NA,0,1218,1218,0,NA,"M"
"104",1979,55,"WI",2,"Wisconsin",4682811,1923,1274,89,100,NA,NA,0,NA,NA,0,3297,3208,0,NA,"M"
"105",1979,56,"WY",4,"Wyoming",454378,386,16,56,44,NA,NA,1,NA,NA,0,447,391,0,NA,"M"
"106",1979,60,"ST",7,"State prison total",NA,141105,130011,18727,2295,NA,NA,645,NA,0,2189,276245,165900,91618,NA,"M"
"107",1979,70,"US",5,"US prison total (state+federal)",NA,155803,138776,22329,2751,NA,NA,717,NA,0,3033,301080,186313,92438,NA,"M"
"108",1979,99,"FE",6,"Federal BOP",NA,14698,8765,3602,456,NA,NA,72,NA,NA,844,24835,20413,820,NA,"M"
"109",1980,1,"AL",3,"Alabama",3918531,2197,3511,0,0,NA,NA,0,NA,NA,0,5708,5708,0,NA,"M"
"110",1980,2,"AK",4,"Alaska",418488,426,89,NA,258,NA,NA,0,NA,NA,28,801,NA,801,NA,"M"
"111",1980,4,"AZ",4,"Arizona",2810127,3143,846,1029,144,NA,NA,2,NA,NA,18,4153,3124,0,NA,"M"
"112",1980,5,"AR",3,"Arkansas",2293195,1240,1579,0,0,NA,NA,0,NA,NA,0,2819,2819,0,NA,"M"
"113",1980,6,"CA",4,"California",24285937,14748,8017,5687,220,NA,NA,182,NA,NA,86,23253,17566,0,NA,"M"
"114",1980,8,"CO",4,"Colorado",2977895,2092,598,761,18,NA,NA,10,NA,NA,0,2718,1957,0,NA,"M"
"115",1980,9,"CT",1,"Connecticut",3128839,2436,1663,540,3,NA,NA,0,NA,NA,0,4102,3562,0,NA,"M"
"116",1980,10,"DE",3,"Delaware",595971,527,889,NA,1,NA,NA,0,NA,NA,0,1417,NA,1417,NA,"M"
"117",1980,11,"DC",3,"District of Columbia",636894,92,2983,NA,0,NA,NA,0,NA,NA,0,3075,NA,3075,NA,"M"
"118",1980,12,"FL",3,"Florida",10192778,10187,9435,276,2,NA,NA,3,NA,NA,269,19896,9,19611,NA,"M"
"119",1980,13,"GA",3,"Georgia",5568343,4804,6826,3,2,NA,NA,0,NA,NA,7,11639,0,11636,NA,"M"
"120",1980,15,"HI",4,"Hawaii",978174,120,22,NA,0,NA,NA,421,NA,NA,391,954,NA,954,NA,"M"
"121",1980,16,"ID",4,"Idaho",962203,746,21,75,23,NA,NA,2,NA,NA,0,792,717,0,NA,"M"
"122",1980,17,"IL",2,"Illinois",11443461,4360,7193,545,0,NA,NA,0,NA,NA,0,11553,11008,0,NA,"M"
"123",1980,18,"IN",2,"Indiana",5480425,4709,1725,58,6,NA,NA,2,NA,NA,0,6442,6384,0,NA,"M"
"124",1980,19,"IA",2,"Iowa",2907975,1945,440,38,30,NA,NA,4,NA,NA,0,2419,2381,0,NA,"M"
"125",1980,20,"KS",2,"Kansas",2384859,1547,785,73,46,NA,NA,3,NA,NA,0,2381,2308,0,NA,"M"
