"","YEAR","STATEID","STATE","REGION","state_name","Population","CAPRATE","CAPOP","CAPDES","gender"
"85",1979,34,"NJ",1,"New Jersey",7366512,NA,NA,NA,"M"
"86",1979,35,"NM",4,"New Mexico",1284722,NA,NA,NA,"M"
"87",1979,36,"NY",1,"New York",17583838,NA,NA,NA,"M"
"88",1979,37,"NC",3,"North Carolina",5823491,NA,NA,NA,"M"
"89",1979,38,"ND",2,"North Dakota",652896,NA,NA,NA,"M"
"90",1979,39,"OH",2,"Ohio",10798298,NA,NA,NA,"M"
"91",1979,40,"OK",3,"Oklahoma",2975310,NA,NA,NA,"M"
"92",1979,41,"OR",4,"Oregon",2588012,NA,NA,NA,"M"
"93",1979,42,"PA",1,"Pennsylvania",11887975,NA,NA,NA,"M"
"94",1979,44,"RI",1,"Rhode Island",950382,NA,NA,NA,"M"
"95",1979,45,"SC",3,"South Carolina",3090267,NA,NA,NA,"M"
"96",1979,46,"SD",2,"South Dakota",688335,NA,NA,NA,"M"
"97",1979,47,"TN",3,"Tennessee",4560473,NA,NA,NA,"M"
"98",1979,48,"TX",3,"Texas",13888371,NA,NA,NA,"M"
"99",1979,49,"UT",4,"Utah",1420238,NA,NA,NA,"M"
"100",1979,50,"VT",1,"Vermont",505372,NA,NA,NA,"M"
"101",1979,51,"VA",3,"Virginia",5307945,NA,NA,NA,"M"
"102",1979,53,"WA",4,"Washington",4017632,NA,NA,NA,"M"
"103",1979,54,"WV",3,"West Virginia",1942146,NA,NA,NA,"M"
"104",1979,55,"WI",2,"Wisconsin",4682811,NA,NA,NA,"M"
"105",1979,56,"WY",4,"Wyoming",454378,NA,NA,NA,"M"
"106",1979,60,"ST",7,"State prison total",NA,NA,NA,NA,"M"
"107",1979,70,"US",5,"US prison total (state+federal)",NA,NA,NA,NA,"M"
"108",1979,99,"FE",6,"Federal BOP",NA,NA,NA,NA,"M"
"109",1980,1,"AL",3,"Alabama",3918531,NA,NA,NA,"M"
"110",1980,2,"AK",4,"Alaska",418488,NA,NA,NA,"M"
"111",1980,4,"AZ",4,"Arizona",2810127,NA,NA,NA,"M"
"112",1980,5,"AR",3,"Arkansas",2293195,NA,NA,NA,"M"
"113",1980,6,"CA",4,"California",24285937,NA,NA,NA,"M"
"114",1980,8,"CO",4,"Colorado",2977895,NA,NA,NA,"M"
"115",1980,9,"CT",1,"Connecticut",3128839,NA,NA,NA,"M"
"116",1980,10,"DE",3,"Delaware",595971,NA,NA,NA,"M"
"117",1980,11,"DC",3,"District of Columbia",636894,NA,NA,NA,"M"
"118",1980,12,"FL",3,"Florida",10192778,NA,NA,NA,"M"
"119",1980,13,"GA",3,"Georgia",5568343,NA,NA,NA,"M"
"120",1980,15,"HI",4,"Hawaii",978174,NA,NA,NA,"M"
"121",1980,16,"ID",4,"Idaho",962203,NA,NA,NA,"M"
"122",1980,17,"IL",2,"Illinois",11443461,NA,NA,NA,"M"
"123",1980,18,"IN",2,"Indiana",5480425,NA,NA,NA,"M"
"124",1980,19,"IA",2,"Iowa",2907975,NA,NA,NA,"M"
"125",1980,20,"KS",2,"Kansas",2384859,NA,NA,NA,"M"
"126",1980,21,"KY",3,"Kentucky",3670385,NA,NA,NA,"M"
"127",1980,22,"LA",3,"Louisiana",4283298,NA,NA,NA,"M"
"128",1980,23,"ME",1,"Maine",1133021,NA,NA,NA,"M"
"129",1980,24,"MD",3,"Maryland",4261908,NA,NA,NA,"M"
"130",1980,25,"MA",1,"Massachusetts",5768683,NA,NA,NA,"M"
"131",1980,26,"MI",2,"Michigan",9209284,NA,NA,NA,"M"
"132",1980,27,"MN",2,"Minnesota",4111674,NA,NA,NA,"M"
"133",1980,28,"MS",3,"Mississippi",2539051,NA,NA,NA,"M"
"134",1980,29,"MO",2,"Missouri",4932079,NA,NA,NA,"M"
"135",1980,30,"MT",4,"Montana",795317,NA,NA,NA,"M"
"136",1980,31,"NE",2,"Nebraska",1578528,NA,NA,NA,"M"
"137",1980,32,"NV",4,"Nevada",847639,NA,NA,NA,"M"
"138",1980,33,"NH",1,"New Hampshire",936644,NA,NA,NA,"M"
"139",1980,34,"NJ",1,"New Jersey",7407475,NA,NA,NA,"M"
"140",1980,35,"NM",4,"New Mexico",1332709,NA,NA,NA,"M"
"141",1980,36,"NY",1,"New York",17567729,NA,NA,NA,"M"
"142",1980,37,"NC",3,"North Carolina",5956661,NA,NA,NA,"M"
"143",1980,38,"ND",2,"North Dakota",659524,NA,NA,NA,"M"
"144",1980,39,"OH",2,"Ohio",10788324,NA,NA,NA,"M"
"145",1980,40,"OK",3,"Oklahoma",3096157,NA,NA,NA,"M"
"146",1980,41,"OR",4,"Oregon",2667984,NA,NA,NA,"M"
"147",1980,42,"PA",1,"Pennsylvania",11858571,NA,NA,NA,"M"
"148",1980,44,"RI",1,"Rhode Island",953007,NA,NA,NA,"M"
"149",1980,45,"SC",3,"South Carolina",3179235,NA,NA,NA,"M"
"150",1980,46,"SD",2,"South Dakota",689569,NA,NA,NA,"M"
"151",1980,47,"TN",3,"Tennessee",4627667,NA,NA,NA,"M"
"152",1980,48,"TX",3,"Texas",14746313,NA,NA,NA,"M"
"153",1980,49,"UT",4,"Utah",1515469,NA,NA,NA,"M"
"154",1980,50,"VT",1,"Vermont",515605,NA,NA,NA,"M"
"155",1980,51,"VA",3,"Virginia",5444106,NA,NA,NA,"M"
"156",1980,53,"WA",4,"Washington",4235731,NA,NA,NA,"M"
"157",1980,54,"WV",3,"West Virginia",1954115,NA,NA,NA,"M"
"158",1980,55,"WI",2,"Wisconsin",4726336,NA,NA,NA,"M"
"159",1980,56,"WY",4,"Wyoming",491715,NA,NA,NA,"M"
"160",1980,60,"ST",7,"State prison total",NA,NA,NA,NA,"M"
"161",1980,70,"US",5,"US prison total (state+federal)",NA,NA,NA,NA,"M"
"162",1980,99,"FE",6,"Federal BOP",NA,NA,NA,NA,"M"
"163",1981,1,"AL",3,"Alabama",3925229,NA,NA,NA,"M"
"164",1981,2,"AK",4,"Alaska",449611,NA,NA,NA,"M"
"165",1981,4,"AZ",4,"Arizona",2889865,NA,NA,NA,"M"
"166",1981,5,"AR",3,"Arkansas",2294262,NA,NA,NA,"M"
"167",1981,6,"CA",4,"California",24820007,NA,NA,NA,"M"
"168",1981,8,"CO",4,"Colorado",3061569,NA,NA,NA,"M"
"169",1981,9,"CT",1,"Connecticut",3139012,NA,NA,NA,"M"
"170",1981,10,"DE",3,"Delaware",599136,NA,NA,NA,"M"
"171",1981,11,"DC",3,"District of Columbia",634171,NA,NA,NA,"M"
"172",1981,12,"FL",3,"Florida",10471407,NA,NA,NA,"M"
"173",1981,13,"GA",3,"Georgia",5649793,NA,NA,NA,"M"
"174",1981,15,"HI",4,"Hawaii",993802,NA,NA,NA,"M"
"175",1981,16,"ID",4,"Idaho",973729,NA,NA,NA,"M"
"176",1981,17,"IL",2,"Illinois",11423414,NA,NA,NA,"M"
"177",1981,18,"IN",2,"Indiana",5467927,NA,NA,NA,"M"
"178",1981,19,"IA",2,"Iowa",2888190,NA,NA,NA,"M"
"179",1981,20,"KS",2,"Kansas",2401211,NA,NA,NA,"M"
"180",1981,21,"KY",3,"Kentucky",3683437,NA,NA,NA,"M"
"181",1981,22,"LA",3,"Louisiana",4352610,NA,NA,NA,"M"
"182",1981,23,"ME",1,"Maine",1136684,NA,NA,NA,"M"
"183",1981,24,"MD",3,"Maryland",4282917,NA,NA,NA,"M"
"184",1981,25,"MA",1,"Massachusetts",5771226,NA,NA,NA,"M"
"185",1981,26,"MI",2,"Michigan",9115202,NA,NA,NA,"M"
"186",1981,27,"MN",2,"Minnesota",4131444,NA,NA,NA,"M"
"187",1981,28,"MS",3,"Mississippi",2556768,NA,NA,NA,"M"
"188",1981,29,"MO",2,"Missouri",4929442,NA,NA,NA,"M"
"189",1981,30,"MT",4,"Montana",803990,NA,NA,NA,"M"
"190",1981,31,"NE",2,"Nebraska",1581786,NA,NA,NA,"M"
"191",1981,32,"NV",4,"Nevada",881545,NA,NA,NA,"M"
"192",1981,33,"NH",1,"New Hampshire",947717,NA,NA,NA,"M"
"193",1981,34,"NJ",1,"New Jersey",7430968,NA,NA,NA,"M"
"194",1981,35,"NM",4,"New Mexico",1363794,NA,NA,NA,"M"
"195",1981,36,"NY",1,"New York",17589746,NA,NA,NA,"M"
"196",1981,37,"NC",3,"North Carolina",6019141,NA,NA,NA,"M"
"197",1981,38,"ND",2,"North Dakota",668969,NA,NA,NA,"M"
"198",1981,39,"OH",2,"Ohio",10757088,NA,NA,NA,"M"
"199",1981,40,"OK",3,"Oklahoma",3206124,NA,NA,NA,"M"
"200",1981,41,"OR",4,"Oregon",2664922,NA,NA,NA,"M"
"201",1981,42,"PA",1,"Pennsylvania",11845148,NA,NA,NA,"M"
"202",1981,44,"RI",1,"Rhode Island",954176,NA,NA,NA,"M"
"203",1981,45,"SC",3,"South Carolina",3207618,NA,NA,NA,"M"
"204",1981,46,"SD",2,"South Dakota",690615,NA,NA,NA,"M"
"205",1981,47,"TN",3,"Tennessee",4646043,NA,NA,NA,"M"
"206",1981,48,"TX",3,"Texas",15331410,NA,NA,NA,"M"
"207",1981,49,"UT",4,"Utah",1558316,NA,NA,NA,"M"
"208",1981,50,"VT",1,"Vermont",519107,NA,NA,NA,"M"
"209",1981,51,"VA",3,"Virginia",5492773,NA,NA,NA,"M"
"210",1981,53,"WA",4,"Washington",4276545,NA,NA,NA,"M"
"211",1981,54,"WV",3,"West Virginia",1949606,NA,NA,NA,"M"
"212",1981,55,"WI",2,"Wisconsin",4728876,NA,NA,NA,"M"
"213",1981,56,"WY",4,"Wyoming",506408,NA,NA,NA,"M"
"214",1981,60,"ST",7,"State prison total",NA,NA,NA,NA,"M"
"215",1981,70,"US",5,"US prison total (state+federal)",NA,NA,NA,NA,"M"
"216",1981,99,"FE",6,"Federal BOP",NA,NA,NA,NA,"M"
"217",1982,1,"AL",3,"Alabama",3934103,NA,NA,NA,"M"
"218",1982,2,"AK",4,"Alaska",488417,NA,NA,NA,"M"
"219",1982,4,"AZ",4,"Arizona",2968928,NA,NA,NA,"M"
"220",1982,5,"AR",3,"Arkansas",2305754,NA,NA,NA,"M"
"221",1982,6,"CA",4,"California",25360023,NA,NA,NA,"M"
"222",1982,8,"CO",4,"Colorado",3133628,NA,NA,NA,"M"
"223",1982,9,"CT",1,"Connecticut",3162343,NA,NA,NA,"M"
