"","YEAR","STATEID","STATE","REGION","state_name","Population","CAPRATEM","CAPRATEF","CAPOPM","CAPOPF","CAPDESM","CAPDESF","CAPRATET","CAPOPT","CAPDEST"
"61",1979,9,"CT",1,"Connecticut",3095917,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1979,10,"DE",3,"Delaware",594984,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1979,11,"DC",3,"District of Columbia",650016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1979,12,"FL",3,"Florida",9426159,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1979,13,"GA",3,"Georgia",5401384,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1979,15,"HI",4,"Hawaii",953306,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1979,16,"ID",4,"Idaho",932627,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1979,17,"IL",2,"Illinois",11396837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1979,18,"IN",2,"Indiana",5501174,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1979,19,"IA",2,"Iowa",2915739,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1979,20,"KS",2,"Kansas",2350906,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1979,21,"KY",3,"Kentucky",3641804,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1979,22,"LA",3,"Louisiana",4137665,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1979,23,"ME",1,"Maine",1122563,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1979,24,"MD",3,"Maryland",4191160,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1979,25,"MA",1,"Massachusetts",5738404,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1979,26,"MI",2,"Michigan",9266268,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1979,27,"MN",2,"Minnesota",4050316,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1979,28,"MS",3,"Mississippi",2507069,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1979,29,"MO",2,"Missouri",4912430,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1979,30,"MT",4,"Montana",787305,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1979,31,"NE",2,"Nebraska",1567344,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1979,32,"NV",4,"Nevada",765367,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1979,33,"NH",1,"New Hampshire",909074,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1979,34,"NJ",1,"New Jersey",7366512,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1979,35,"NM",4,"New Mexico",1284722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1979,36,"NY",1,"New York",17583838,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1979,37,"NC",3,"North Carolina",5823491,NA,NA,NA,NA,NA,NA,NA,NA,NA
