"","YEAR","STATEID","STATE","REGION","state_name","Population","DTHEXECM","DTHEXECF","DTHILLNM","DTHILLNF","DTHAIDSM","DTHAIDSF","DTHSUICM","DTHSUICF","DTHACCM","DTHACCF","DTHHOMIM","DTHHOMIF","DTHHOMOM","DTHHOMOF","DTHPERSM","DTHPERSF","DTHOTHM","DTHOTHF","DTHTOTM","DTHTOTF"
"42",1978,46,"SD",2,"South Dakota",688580,NA,NA,1,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"43",1978,47,"TN",3,"Tennessee",4486314,0,0,12,0,NA,NA,0,0,3,0,NA,NA,NA,NA,4,0,0,0,NA,NA
"44",1978,48,"TX",3,"Texas",13500429,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,28,1,NA,NA
"45",1978,49,"UT",4,"Utah",1367510,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"46",1978,50,"VT",1,"Vermont",498109,NA,NA,0,0,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"47",1978,51,"VA",3,"Virginia",5270240,0,0,4,0,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,9,1,NA,NA
"48",1978,53,"WA",4,"Washington",3889073,0,0,5,0,NA,NA,3,0,1,0,NA,NA,NA,NA,5,0,0,0,NA,NA
"49",1978,54,"WV",3,"West Virginia",1923395,NA,NA,3,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"50",1978,55,"WI",2,"Wisconsin",4646108,NA,NA,4,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"51",1978,56,"WY",4,"Wyoming",432880,0,0,2,0,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"52",1978,60,"ST",7,"State prison total",NA,0,0,246,10,NA,NA,60,1,16,0,NA,NA,NA,NA,73,0,167,6,NA,NA
"53",1978,70,"US",5,"US prison total (state+federal)",NA,0,0,276,12,NA,NA,62,1,16,0,NA,NA,NA,NA,89,0,170,6,NA,NA
"54",1978,99,"FE",6,"Federal BOP",NA,0,0,30,2,NA,NA,2,0,0,0,NA,NA,NA,NA,16,0,3,0,NA,NA
"55",1979,1,"AL",3,"Alabama",3866248,0,0,11,0,NA,NA,2,0,2,0,NA,NA,NA,NA,3,0,0,0,NA,NA
"56",1979,2,"AK",4,"Alaska",402753,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"57",1979,4,"AZ",4,"Arizona",2635571,0,0,6,1,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"58",1979,5,"AR",3,"Arkansas",2271333,0,0,2,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"59",1979,6,"CA",4,"California",23256880,0,0,17,2,NA,NA,8,0,0,0,NA,NA,NA,NA,16,0,0,0,NA,NA
"60",1979,8,"CO",4,"Colorado",2849234,0,0,1,0,NA,NA,1,0,1,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"61",1979,9,"CT",1,"Connecticut",3095917,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"62",1979,10,"DE",3,"Delaware",594984,0,0,2,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"63",1979,11,"DC",3,"District of Columbia",650016,NA,NA,5,0,NA,NA,5,0,0,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"64",1979,12,"FL",3,"Florida",9426159,1,0,27,1,NA,NA,23,0,1,0,NA,NA,NA,NA,7,0,0,0,NA,NA
"65",1979,13,"GA",3,"Georgia",5401384,0,0,11,1,NA,NA,1,0,3,0,NA,NA,NA,NA,4,0,4,0,NA,NA
"66",1979,15,"HI",4,"Hawaii",953306,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,6,0,NA,NA
"67",1979,16,"ID",4,"Idaho",932627,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"68",1979,17,"IL",2,"Illinois",11396837,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,70,0,NA,NA
"69",1979,18,"IN",2,"Indiana",5501174,0,0,8,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"70",1979,19,"IA",2,"Iowa",2915739,NA,NA,5,0,NA,NA,1,0,2,0,NA,NA,NA,NA,1,0,0,0,NA,NA
"71",1979,20,"KS",2,"Kansas",2350906,NA,NA,3,0,NA,NA,0,0,0,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"72",1979,21,"KY",3,"Kentucky",3641804,0,0,5,0,NA,NA,1,0,3,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"73",1979,22,"LA",3,"Louisiana",4137665,0,0,9,0,NA,NA,0,0,0,0,NA,NA,NA,NA,2,0,1,0,NA,NA
"74",1979,23,"ME",1,"Maine",1122563,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,2,0,NA,NA
"75",1979,24,"MD",3,"Maryland",4191160,0,0,5,0,NA,NA,1,0,0,0,NA,NA,NA,NA,6,0,0,0,NA,NA
"76",1979,25,"MA",1,"Massachusetts",5738404,NA,NA,4,0,NA,NA,0,0,2,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"77",1979,26,"MI",2,"Michigan",9266268,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,15,0,NA,NA
"78",1979,27,"MN",2,"Minnesota",4050316,NA,NA,2,1,NA,NA,3,0,0,0,NA,NA,NA,NA,1,0,0,0,NA,NA
"79",1979,28,"MS",3,"Mississippi",2507069,0,0,3,0,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"80",1979,29,"MO",2,"Missouri",4912430,0,0,11,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"81",1979,30,"MT",4,"Montana",787305,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"82",1979,31,"NE",2,"Nebraska",1567344,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"83",1979,32,"NV",4,"Nevada",765367,1,0,3,0,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"84",1979,33,"NH",1,"New Hampshire",909074,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"85",1979,34,"NJ",1,"New Jersey",7366512,NA,NA,2,2,NA,NA,3,0,0,0,NA,NA,NA,NA,0,0,1,0,NA,NA
"86",1979,35,"NM",4,"New Mexico",1284722,0,0,1,0,NA,NA,0,0,0,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"87",1979,36,"NY",1,"New York",17583838,NA,NA,30,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"88",1979,37,"NC",3,"North Carolina",5823491,0,0,12,0,NA,NA,4,0,1,0,NA,NA,NA,NA,2,0,0,0,NA,NA
"89",1979,38,"ND",2,"North Dakota",652896,NA,NA,0,0,NA,NA,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"90",1979,39,"OH",2,"Ohio",10798298,0,0,27,2,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA
"91",1979,40,"OK",3,"Oklahoma",2975310,0,0,0,0,NA,NA,3,0,0,0,NA,NA,NA,NA,1,0,0,2,NA,NA
"92",1979,41,"OR",4,"Oregon",2588012,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,7,0,NA,NA
"93",1979,42,"PA",1,"Pennsylvania",11887975,0,0,16,0,NA,NA,3,0,0,0,NA,NA,NA,NA,1,0,0,0,NA,NA
