"","YEAR","STATE","REGION","state_name","Population","JURTOT","PVIN","PVOTH","PVINCL","LF","LFINCL","LFCROWD","LFCRINC","FED","OTHST","FACINCL","FACROWD","gender"
"51",1978,"WY",4,"Wyoming",432880,414,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"52",1978,"ST",7,"State prison total",NA,266555,NA,NA,NA,NA,NA,6618,NA,NA,NA,NA,0,"M"
"53",1978,"US",5,"US prison total (state+federal)",NA,294530,NA,NA,NA,NA,NA,6618,NA,NA,NA,NA,0,"M"
"54",1978,"FE",6,"Federal BOP",NA,27975,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"55",1979,"AL",3,"Alabama",3866248,5221,NA,NA,NA,NA,NA,1299,NA,NA,NA,NA,NA,"M"
"56",1979,"AK",4,"Alaska",402753,729,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"57",1979,"AZ",4,"Arizona",2635571,3573,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"58",1979,"AR",3,"Arkansas",2271333,2927,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"59",1979,"CA",4,"California",23256880,21400,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"60",1979,"CO",4,"Colorado",2849234,2587,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"61",1979,"CT",1,"Connecticut",3095917,3919,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"62",1979,"DE",3,"Delaware",594984,1355,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"63",1979,"DC",3,"District of Columbia",650016,2899,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"64",1979,"FL",3,"Florida",9426159,18919,NA,NA,NA,NA,NA,253,NA,NA,NA,NA,NA,"M"
"65",1979,"GA",3,"Georgia",5401384,11556,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"66",1979,"HI",4,"Hawaii",953306,809,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"67",1979,"ID",4,"Idaho",932627,796,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"68",1979,"IL",2,"Illinois",11396837,11469,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"69",1979,"IN",2,"Indiana",5501174,5475,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"70",1979,"IA",2,"Iowa",2915739,2176,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"71",1979,"KS",2,"Kansas",2350906,2208,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"72",1979,"KY",3,"Kentucky",3641804,3550,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"73",1979,"LA",3,"Louisiana",4137665,7382,NA,NA,NA,NA,NA,872,NA,NA,NA,NA,NA,"M"
"74",1979,"ME",1,"Maine",1122563,758,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,"M"
"75",1979,"MD",3,"Maryland",4191160,7638,NA,NA,NA,NA,NA,391,NA,NA,NA,NA,NA,"M"
"76",1979,"MA",1,"Massachusetts",5738404,2837,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,"M"
"77",1979,"MI",2,"Michigan",9266268,14374,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,"M"
"78",1979,"MN",2,"Minnesota",4050316,2017,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
