"","YEAR","STATEID","STATE","REGION","state_name","Population","CUSGT1M","CUSGT1F","CUSLT1M","CUSLT1F","CUSUNSM","CUSUNSF","CUSTOTM","CUSTOTF","CUSGT1T","CUSLT1T","CUSUNST","CUSTOTT","CNOPRIVM","CNOPRIVF","CWPRIVM","CWPRIVF","JURGT1M","JURGT1F","JURLT1M","JURLT1F","JURUNSM","JURUNSF","JURTOTM","JURTOTF","PVINM","PVINF","PVOTHM","PVOTHF","PVINCLM","PVINCLF","LFM","LFF","LFINCLM","LFINCLF","LFCROWDM","LFCROWDF","LFCRSTM","LFCRSTF","LFCRINCM","LFCRINCF","FEDM","FEDF","OTHSTM","OTHSTF","FACINCLM","FACINCLF","FACROWDM","FACROWDF","CUSLT18M","CUSLT18F","CUSCTZNM","CUSCTZNF"
"17",1978,20,"KS",2,"Kansas",2335657,NA,NA,NA,NA,NA,NA,NA,NA,2284,2,2,2288,NA,NA,NA,NA,2243,96,0,2,0,0,2243,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1978,21,"KY",3,"Kentucky",3609976,NA,NA,NA,NA,NA,NA,NA,NA,3390,0,0,3390,NA,NA,NA,NA,3279,111,0,0,0,0,3279,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1978,22,"LA",3,"Louisiana",4068579,NA,NA,NA,NA,NA,NA,NA,NA,6101,0,0,6101,NA,NA,NA,NA,7083,208,0,0,0,0,7083,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1978,23,"ME",1,"Maine",1113566,NA,NA,NA,NA,NA,NA,NA,NA,559,107,0,666,NA,NA,NA,NA,567,10,128,6,0,0,695,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1978,24,"MD",3,"Maryland",4183603,NA,NA,NA,NA,NA,NA,NA,NA,7572,0,0,7572,NA,NA,NA,NA,7722,244,0,0,0,0,7722,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1978,25,"MA",1,"Massachusetts",5736469,NA,NA,NA,NA,NA,NA,NA,NA,2693,14,7,2714,NA,NA,NA,NA,2720,65,4,10,0,7,2724,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1978,26,"MI",2,"Michigan",9217761,NA,NA,NA,NA,NA,NA,NA,NA,14944,0,0,14944,NA,NA,NA,NA,14323,621,0,0,0,0,14323,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1978,27,"MN",2,"Minnesota",4015341,NA,NA,NA,NA,NA,NA,NA,NA,1837,0,0,1837,NA,NA,NA,NA,1878,76,0,0,0,0,1878,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1978,28,"MS",3,"Mississippi",2487816,NA,NA,NA,NA,NA,NA,NA,NA,1779,198,0,1977,NA,NA,NA,NA,2532,101,253,10,0,0,2785,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,907,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1978,29,"MO",2,"Missouri",4889399,NA,NA,NA,NA,NA,NA,NA,NA,5637,0,0,5637,NA,NA,NA,NA,5455,182,0,0,0,0,5455,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
