"","YEAR","STATEID","STATE","REGION","state_name","Population","RLUNEXPM","RLUNEXPF","RLUNCOMM","RLUNCOMF","RLUNOTHM","RLUNOTHF","RLCOPROM","RLCOPROF","RLCOSUPM","RLCOSUPF","RLCODPM","RLCODPF","RLCOOTHM","RLCOOTHF","RLDEATHM","RLDEATHF","RLAWOLM","RLAWOLF","RLESCAPM","RLESCAPF","RLAWESM","RLAWESF","RLTRANM","RLTRANF","RLBONDM","RLBONDF","RLOTHM","RLOTHF","RLTOTM","RLTOTF"
"33",1978,36,"NY",1,"New York",17680589,476,4,0,0,0,0,0,0,1943,38,4804,204,0,0,NA,NA,47,0,38,1,NA,NA,274,2,183,7,0,0,7792,258
"34",1978,37,"NC",3,"North Carolina",5759492,1456,37,0,0,70,1,0,0,0,0,5418,307,0,0,NA,NA,0,0,827,15,NA,NA,0,0,0,0,0,0,7791,362
"35",1978,38,"ND",2,"North Dakota",651301,18,0,0,0,0,0,4,0,0,0,141,4,0,0,NA,NA,0,0,0,0,NA,NA,0,0,1,0,7,2,172,6
"36",1978,39,"OH",2,"Ohio",10795581,12,0,0,0,31,0,1065,175,0,0,4662,379,333,79,NA,NA,0,0,37,1,NA,NA,97,0,0,0,0,0,6253,634
"37",1978,40,"OK",3,"Oklahoma",2917336,1104,49,0,0,0,0,0,0,0,0,802,35,0,0,NA,NA,28,8,94,17,NA,NA,0,0,0,0,38,0,2078,110
"38",1978,41,"OR",4,"Oregon",2518298,287,9,0,0,0,0,0,0,0,0,1562,89,0,0,NA,NA,146,16,0,0,NA,NA,0,0,1,2,7,0,2009,116
"39",1978,42,"PA",1,"Pennsylvania",11879396,118,1,0,0,56,5,0,0,0,0,2679,142,0,0,NA,NA,18,0,65,26,NA,NA,79,7,45,4,206,1,3282,187
"40",1978,44,"RI",1,"Rhode Island",951816,52,0,0,0,0,0,49,3,0,0,119,2,0,0,NA,NA,3,0,6,0,NA,NA,4,0,3,0,0,0,238,5
"41",1978,45,"SC",3,"South Carolina",3044364,540,20,0,0,12,0,449,18,0,0,1590,81,0,0,NA,NA,7,0,302,15,NA,NA,0,0,21,3,0,4,2940,141
"42",1978,46,"SD",2,"South Dakota",688580,101,3,0,0,8,0,19,1,0,0,169,10,8,0,NA,NA,4,0,14,0,NA,NA,0,0,9,0,0,0,333,14
"43",1978,47,"TN",3,"Tennessee",4486314,274,25,1,1,17,5,0,0,230,0,1487,110,250,20,NA,NA,0,0,372,9,NA,NA,0,0,0,0,0,0,2650,170
"44",1978,48,"TX",3,"Texas",13500429,3595,173,0,0,3,0,39,3,129,10,5515,443,44,0,NA,NA,0,0,10,0,NA,NA,58,3,0,0,477,28,9898,661
