"","YEAR","STATEID","STATE","REGION","state_name","Population","ADCRNEWM","ADCRNEWF","ADCRNOM","ADCRNOF","ADTRANSM","ADTRANSF","ADAWOLM","ADAWOLF","ADESCAPM","ADESCAPF","ADAWESM","ADAWESF","ADRETM","ADRETF","ADOTHM","ADOTHF","ADTOTM","ADTOTF"
"49",1978,54,"WV",3,"West Virginia",1923395,0,0,0,0,0,0,0,0,39,0,NA,NA,0,0,2,0,430,23
"50",1978,55,"WI",2,"Wisconsin",4646108,62,0,72,1,0,0,0,0,81,11,NA,NA,0,0,0,0,1527,106
"51",1978,56,"WY",4,"Wyoming",432880,0,0,0,0,4,0,0,0,3,0,NA,NA,0,0,0,1,216,16
"52",1978,60,"ST",7,"State prison total",NA,1500,48,1175,53,2420,159,886,62,5173,367,NA,NA,892,47,1004,83,138351,8031
"53",1978,70,"US",5,"US prison total (state+federal)",NA,1500,48,1414,59,2977,210,886,62,5965,435,NA,NA,933,54,1004,83,153323,9251
"54",1978,99,"FE",6,"Federal BOP",NA,0,0,239,6,557,51,0,0,792,68,NA,NA,41,7,0,0,14972,1220
"55",1979,1,"AL",3,"Alabama",3866248,0,0,0,0,0,0,NA,NA,NA,NA,214,8,0,0,0,35,2596,223
"56",1979,2,"AK",4,"Alaska",402753,0,0,0,0,20,2,NA,NA,NA,NA,4,0,0,0,3,0,327,10
"57",1979,4,"AZ",4,"Arizona",2635571,0,0,0,0,91,26,NA,NA,NA,NA,203,16,0,0,0,0,1853,124
"58",1979,5,"AR",3,"Arkansas",2271333,0,0,0,0,3,0,NA,NA,NA,NA,26,0,0,0,0,0,2108,110
"59",1979,6,"CA",4,"California",23256880,0,0,0,0,372,126,NA,NA,NA,NA,149,8,0,0,2570,283,14766,1174
"60",1979,8,"CO",4,"Colorado",2849234,18,1,4,0,15,10,NA,NA,NA,NA,64,2,6,0,0,0,1288,73
"61",1979,9,"CT",1,"Connecticut",3095917,570,32,0,0,41,7,NA,NA,NA,NA,66,17,0,0,0,25,2880,246
"62",1979,10,"DE",3,"Delaware",594984,0,0,0,0,59,0,NA,NA,NA,NA,31,3,0,0,0,0,447,15
"63",1979,11,"DC",3,"District of Columbia",650016,54,0,8,0,687,55,NA,NA,NA,NA,199,22,0,0,12,0,2124,149
"64",1979,12,"FL",3,"Florida",9426159,176,10,277,17,0,0,NA,NA,NA,NA,458,27,0,0,0,0,8502,509
"65",1979,13,"GA",3,"Georgia",5401384,0,0,0,0,0,0,NA,NA,NA,NA,381,39,0,0,12,0,5546,373
"66",1979,15,"HI",4,"Hawaii",953306,11,0,0,0,9,0,NA,NA,NA,NA,10,0,0,0,0,0,197,9
"67",1979,16,"ID",4,"Idaho",932627,11,0,20,0,38,1,NA,NA,NA,NA,21,0,3,0,18,1,623,35
"68",1979,17,"IL",2,"Illinois",11396837,20,0,349,6,0,0,NA,NA,NA,NA,39,4,0,0,20,104,6446,294
"69",1979,18,"IN",2,"Indiana",5501174,198,5,0,0,0,0,NA,NA,NA,NA,70,1,0,0,0,0,2882,180
"70",1979,19,"IA",2,"Iowa",2915739,5,0,12,1,0,0,NA,NA,NA,NA,89,11,29,0,10,0,1120,79
"71",1979,20,"KS",2,"Kansas",2350906,29,0,43,2,17,0,NA,NA,NA,NA,40,0,0,0,0,0,1528,84
"72",1979,21,"KY",3,"Kentucky",3641804,0,0,21,5,3,0,NA,NA,NA,NA,86,3,6,0,3,0,2586,171
"73",1979,22,"LA",3,"Louisiana",4137665,0,0,0,0,8,1,NA,NA,NA,NA,87,2,0,0,0,0,2149,119
"74",1979,23,"ME",1,"Maine",1122563,2,0,0,0,73,0,NA,NA,NA,NA,1,0,10,0,2,4,538,8
"75",1979,24,"MD",3,"Maryland",4191160,0,0,0,0,267,7,NA,NA,NA,NA,499,11,0,0,0,0,4946,291
"76",1979,25,"MA",1,"Massachusetts",5738404,0,0,0,0,97,5,NA,NA,NA,NA,149,15,0,0,0,0,1509,106
"77",1979,26,"MI",2,"Michigan",9266268,0,0,0,0,1,2,NA,NA,NA,NA,920,123,0,0,0,0,6115,432
"78",1979,27,"MN",2,"Minnesota",4050316,0,0,0,0,0,0,NA,NA,NA,NA,32,11,0,0,0,0,1332,78
"79",1979,28,"MS",3,"Mississippi",2507069,19,1,9,0,0,0,NA,NA,NA,NA,42,0,0,0,454,21,2305,102
